,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-50,q-30,q-10
129,uscis.gov,26.0,16.0,3631677.0,2077609.0,1931724.0,1918994.0,1873643.0,1827567.0,1782090.0
130,104.com.tw,56.0,38.0,3292862.0,1421014.0,1044812.0,1036276.0,1006944.0,974720.0,936986.0
131,huaban.com,67.0,62.0,4415558.0,3891823.0,1300793.0,1249561.0,1076231.0,884863.0,678089.0
132,naukri.com,23.0,16.0,1980817.0,647892.0,614754.0,613404.0,609348.0,605706.0,601138.0
133,asriran.com,58.0,54.0,2947442.0,1403401.0,1124005.0,1110219.0,1061404.0,1009240.0,953254.0
134,hipwee.com,65.0,22.0,8687145.0,5342730.0,5205960.0,5199228.0,5177726.0,5157774.0,5138896.0
135,google.hu,20.0,4.0,1504139.0,524609.0,522864.0,522748.0,522236.0,519840.0,512902.0
136,collegeboard.org,5.0,1.0,9999269.0,2882179.0,2881808.0,2881808.0,2881808.0,2881808.0,2881808.0
137,indiamart.com,30.0,27.0,4504000.0,1539819.0,1384177.0,1378217.0,1348457.0,1302401.0,1262391.0
138,weebly.com,25.0,11.0,8226247.0,2507049.0,2358427.0,2352141.0,2328615.0,2299091.0,2269281.0
139,kakaku.com,123.0,95.0,6863951.0,3565751.0,2184653.0,2156450.0,2059766.0,1957926.0,1850614.0
140,tradingview.com,82.0,36.0,6891256.0,2927324.0,2697944.0,2686424.0,2652812.0,2619226.0,2584772.0
141,hindustantimes.com,190.0,128.0,6877961.0,3035301.0,2861484.0,2834106.0,2731081.0,2605983.0,2459268.0
142,weixinyunduan.com,48.0,47.0,776221.0,673172.0,360063.0,351199.0,321170.0,288900.0,246202.0
143,dictionary.com,28.0,8.0,4803885.0,1497645.0,1437957.0,1435391.0,1429131.0,1423459.0,1416535.0
144,geeksforgeeks.org,27.0,11.0,2238131.0,1199260.0,970532.0,968608.0,962530.0,955730.0,948262.0
145,bolasport.com,64.0,53.0,5765662.0,2768225.0,2482019.0,2467251.0,2409007.0,2334219.0,2241337.0
146,abs.cbn.com,79.0,71.0,8455811.0,4962142.0,3427510.0,3338646.0,3067434.0,2795374.0,2517406.0
147,brightspace.com,22.0,20.0,7865765.0,2492519.0,2108584.0,2092860.0,2033632.0,1980016.0,1924292.0
148,telewebion.com,48.0,41.0,7262399.0,2658617.0,1765460.0,1753876.0,1715790.0,1674474.0,1628784.0
149,cnn.com,67.0,63.0,15193180.0,4636933.0,4479904.0,4477082.0,4467636.0,4458184.0,4445866.0
150,jd.com,54.0,49.0,9948799.0,6051197.0,2087309.0,2063883.0,1970981.0,1872513.0,1779521.0
151,labanquepostale.fr,16.0,13.0,3919754.0,2361497.0,1916233.0,1899339.0,1837621.0,1777215.0,1713013.0
152,livejournal.com,75.0,17.0,6654753.0,2706814.0,2574133.0,2568921.0,2548755.0,2528413.0,2508313.0
153,impress.co.jp,40.0,29.0,4085723.0,3210913.0,1272020.0,1244754.0,1160218.0,1063344.0,954782.0
154,newsmth.net,13.0,7.0,3049032.0,1331734.0,1141597.0,1129179.0,1088397.0,1045381.0,1005003.0
